title,rating,year
Glengarry Glen Ross,7.7,1992
Conte d'hiver,7.2,1992
Unforgiven,8.2,1992
Ruan Ling Yu,7.5,1991
C'est arrivé près de chez vous,7.4,1992
The Crying Game,7.2,1992
Dracula,7.4,1992
Candyman,6.7,1992
Aileen Wuornos: The Selling of a Serial Killer,6.9,1992
Lan feng zheng,7.5,1993
Philadelphia,7.7,1993
Xi meng ren sheng,7.1,1993
Short Cuts,7.7,1993
Schindler's List,9,1993
Trois couleurs: Bleu,7.9,1993
Ba wang bie ji,8.1,1993
Groundhog Day,8.1,1993
The Piano,7.5,1993
Xi yan,7.6,1993
Thirty Two Short Films About Glenn Gould,7.3,1993
Jurassic Park,8.2,1993
The Age of Innocence,7.2,1993
The Lion King,8.5,1994
The Last Seduction,7,1994
Les roseaux sauvages,7.3,1994
Crumb,8,1994
Heavenly Creatures,7.3,1994
Pulp Fiction,8.9,1994
Trois couleurs: Rouge,8.1,1994
Natural Born Killers,7.2,1994
Muriel's Wedding,7.2,1994
"The Adventures of Priscilla, Queen of the Desert",7.5,1994
Hoop Dreams,8.3,1994
Sátántangó,8.2,1994
Clerks,7.7,1994
Four Weddings and a Funeral,7.1,1994
Forrest Gump,8.8,1994
Zire darakhatan zeyton,7.7,1994
The Shawshank Redemption,9.3,1994
Caro diario,7.2,1993
Chung Hing sam lam,8,1994
Riget (199,8.2,2022
Lamerica,7.4,1994
Braveheart,8.4,1995
Deseret,5.8,1995
Babe,6.9,1995
Se7en,8.6,1995
Smoke,7.4,1995
Badkonake sefid,7.6,1995
Underground,8.1,1995
Dilwale Dulhania Le Jayenge,8,1995
Xích lô,7.2,1995
Clueless,6.9,1995
Safe,7.1,1995
Heat,8.3,1995
Toy Story,8.3,1995
Toy Story 2,7.9,1999
Toy Story 3,8.3,2010
Dead Man,7.5,1995
Toy Story 4,7.7,2019
The Usual Suspects,8.5,1995
Kjærlighetens kjøtere,7.3,1995
Casino,8.2,1995
Strange Days,7.2,1995
Trainspotting,8.1,1996
Fargo,8.1,1996
Gabbeh,6.9,1996
Trois vies et une seule mort,6.8,1996
Shine,7.6,1996
Scream,7.4,1996
Secrets & Lies,8,1996
The English Patient,7.4,1996
Lone Star,7.4,1996
Breaking the Waves,7.8,1996
Independence Day,7,1996
The Pillow Book,6.5,1996
The Ice Storm,7.4,1997
Hana-bi,7.7,1997
Boogie Nights,7.9,1997
L.A. Confidential,8.2,1997
Funny Games,7.5,1997
Abre los ojos,7.7,1997
The Sweet Hereafter,7.5,1997
Titanic,7.9,1997
Ta'm e guilass,7.7,1997
Deconstructing Harry,7.3,1997
Chun gwong cha sit,7.7,1997
Mononoke-hime,8.3,1997
"Fast, Cheap & Out of Control",7.1,1997
The Butcher Boy,7.1,1997
Kundun,7,1997
Mat i syn,7.3,1997
Saving Private Ryan,8.6,1998
Lola rennt,7.7,1998
Rushmore,7.6,1998
Festen,8.1,1998
Buffalo '66,7.4,1998
Ringu,7.2,1998
Happiness,7.7,1998
The Thin Red Line,7.6,1998
Tetsuo,6.9,1989
"Lock, Stock and Two Smoking Barrels",8.2,1998
Pi,7.3,1998
Idioterne,6.8,1998
Sombre,5.9,1998
There's Something About Mary,7.1,1998
The Big Lebowski,8.1,1998
The Blair Witch Project,6.5,1999
Being John Malkovich,7.8,1999
The Sixth Sense,8.2,1999
Three Kings,7.1,1999
Magnolia,8,1999
Fight Club,8.8,1999
Ôdishon,7.1,1999
American Beauty,8.4,1999
Beau travail,7.3,1999
Todo sobre mi madre,7.8,1999
The Matrix,8.7,1999
Gohatto,6.8,1999
Rosetta,7.4,1999
Bad ma ra khahad bord,7.4,1999
"Le temps retrouvé, d'après l'oeuvre de Marcel Proust",6.7,1999
Juyuso seubgyuksageun,6.9,1999
Eyes Wide Shut,7.5,1999
Les glaneurs et la glaneuse,7.7,2000
Fa yeung nin wah,8.1,2000
Gladiator,8.5,2000
Kippur,6.2,2000
Yi yi,8.1,2000
Requiem for a Dream,8.3,2000
Amores perros,8.1,2000
Memento,8.4,2000
Wo hu cang long,7.9,2000
Nueve reinas,7.9,2000
La captive,6,2000
"Ali Zaoua, prince de la rue",7.4,2000
Meet the Parents,7,2000
Signs & Wonders,5.8,2000
Traffic,7.6,2000
Dancer in the Dark,7.9,2000
"O Brother, Where Art Thou?",7.7,2000
The Lord of the Rings: The Fellowship of the Ring,8.8,2001
The Lord of the Rings: The Two Towers,8.8,2002
The Lord of the Rings: The Return of the King,9,2003
Sen to Chihiro no kamikakushi,8.6,2001
No Man's Land (I),7.9,2001
Le fabuleux destin d'Amélie Poulain,8.3,2001
Ni na bian ji dian,7.3,2001
Y tu mamá también,7.7,2001
Safar-e Ghandehar,6.8,2001
La pianiste,7.5,2001
La stanza del figlio,7.3,2001
Moulin Rouge!,7.6,2001
Monsoon Wedding,7.3,2001
À ma soeur!,6.4,2001
Mulholland Dr.,7.9,2001
The Royal Tenenbaums,7.6,2001
Lantana,7.2,2001
A.I. Artificial Intelligence,7.2,2001
Gangs of New York,7.5,2002
Russkiy kovcheg,7.2,2002
Bowling for Columbine,8,2002
Cidade de Deus,8.6,2002
Hable con ella,7.9,2002
The Pianist,8.5,2002
Adaptation.,7.7,2002
Far from Heaven,7.3,2002
Chicago,7.2,2002
Ying xiong,7.9,2002
Uzak,7.5,2002
Rabbit-Proof Fence,7.4,2002
Irréversible,7.3,2002
Ônibus 174,7.8,2002
Elephant,7.1,2003
Aileen: Life and Death of a Serial Killer,7.1,2003
Oldeuboi,8.4,2003
Good Bye Lenin!,7.7,2003
Osama,7.3,2003
Les invasions barbares,7.5,2003
Kill Bill: Vol. 1,8.2,2003
La meglio gioventù,8.5,2003
Lost in Translation,7.7,2003
Gegen die Wand,7.9,2004
Le conseguenze dell'amore,7.5,2004
Moolaadé,7.6,2004
Der Untergang,8.2,2004
Fahrenheit 9/11,7.5,2004
The Passion of the Christ,7.2,2004
Collateral,7.5,2004
The Aviator,7.5,2004
Million Dollar Baby,8.1,2004
Bin-jip,7.9,2004
Crash (I),7.7,2004
Sideways,7.5,2004
Un long dimanche de fiançailles,7.6,2004
Tsotsi,7.2,2005
Brokeback Mountain,7.7,2005
"Va, vis et deviens",7.8,2005
Paradise Now,7.4,2005
Caché,7.3,2005
The Constant Gardener,7.4,2005
Little Miss Sunshine,7.8,2006
El laberinto del fauno,8.2,2006
Das Leben der Anderen,8.4,2006
The Departed,8.5,2006
Apocalypto,7.8,2006
Borat: Cultural Learnings of America for Make Benefit Glorious Nation of Kazakhstan,7.3,2006
Once (I),7.8,2007
The Queen,7.3,2006
Gwoemul,7.1,2006
The Prestige,8.5,2006
Children of Men,7.9,2006
United 93,7.6,2006
The Last King of Scotland,7.6,2006
Babel (I),7.5,2006
Volver (I),7.6,2006
Paranormal Activity,6.3,2007
No Country for Old Men,8.2,2007
Le scaphandre et le papillon,8,2007
There Will Be Blood,8.2,2007
La Môme,7.6,2007
Into the Wild,8.1,2007
Atonement,7.8,2007
Surfwise,7.1,2007
The Bourne Ultimatum,8,2007
Gomorra,7,2008
The Hurt Locker,7.5,2008
Slumdog Millionaire,8,2008
The Dark Knight,9,2008
Låt den rätte komma in,7.9,2008
WALL·E,8.4,2008
Joheunnom nabbeunnom isanghannom,7.2,2008
The Wrestler,7.9,2008
The Curious Case of Benjamin Button,7.8,2008
Entre les murs,7.5,2008
Anvil: The Story of Anvil,7.9,2008
District 9,7.9,2009
Inglourious Basterds,8.3,2009
Avatar,7.9,2009
Das weiße Band - Eine deutsche Kindergeschichte,7.8,2009
An Education,7.3,2009
Precious (II),7.3,2009
The Hangover,7.7,2009
In the Loop,7.4,2009
Fish Tank,7.3,2009
Cave of Forgotten Dreams,7.4,2010
Des hommes et des dieux,7.2,2010
Black Swan,8,2010
The King's Speech,8,2010
Inception,8.8,2010
The Social Network,7.8,2010
Senna,8.5,2010
Monsters,6.4,2010
Four Lions,7.3,2010
True Grit,7.6,2010
Nostalgia de la luz,7.6,2010
Le Havre,7.2,2011
Shame,7.2,2011
Jodaeiye Nader az Simin,8.3,2011
The Tree of Life,6.8,2011
Drive (I),7.8,2011
Tinker Tailor Soldier Spy,7,2011
Bridesmaids (I),6.8,2011
Le gamin au vélo,7.4,2011
The Artist (I),7.9,2011
The Girl with the Dragon Tattoo,7.8,2011
War Horse,7.2,2011
The Descendants,7.3,2011
Hugo,7.5,2011
The Cabin in the Woods,7,2011
Les Misérables,7.5,2012
Amour,7.9,2012
Argo,7.7,2012
Lincoln,7.3,2012
Skyfall,7.8,2012
Django Unchained,8.4,2012
Life of Pi,7.9,2012
The Act of Killing,8.2,2012
Blancanieves,7.5,2012
Wadjda,7.5,2012
12 Years a Slave,8.1,2013
American Hustle,7.2,2013
La vie d'Adèle,7.7,2013
Gravity,7.7,2013
La grande bellezza,7.7,2013
Inside Llewyn Davis,7.4,2013
Nebraska,7.7,2013
Tian zhu ding,7.1,2013
The Wolf of Wall Street,8.2,2013
Ida,7.4,2013
Under the Skin (I),6.3,2013
Citizenfour,8,2014
Leviafan,7.6,2014
Boyhood (I),7.9,2014
Guardians of the Galaxy,8,2014
Birdman or (The Unexpected Virtue of Ignorance),7.7,2014
Whiplash,8.5,2014
The Theory of Everything,7.7,2014
The Grand Budapest Hotel,8.1,2014
The Look of Silence,8.3,2014
Star Wars: Episode VII - The Force Awakens,7.8,2015
The Revenant,8,2015
Saul fia,7.4,2015
Bridge of Spies,7.6,2015
The Big Short,7.8,2015
Spotlight (I),8.1,2015
Tangerine,7.1,2015
Straight Outta Compton,7.8,2015
Mad Max: Fury Road,8.1,2015
Victoria (II),7.6,2015
La La Land,8,2016
Hell or High Water (II),7.6,2016
The Jungle Book,7.4,2016
Jackie (V),6.7,2016
Toni Erdmann,7.3,2016
Under the Shadow,6.8,2016
Manchester by the Sea,7.8,2016
"I, Daniel Blake",7.8,2016
13th,8.2,2016
Arrival (II),7.9,2016
Moonlight (I),7.4,2016
Ah-ga-ssi,8.1,2016
Dawson City: Frozen Time,7.6,2016
Lady Macbeth,6.8,2016
Lady Bird,7.4,2017
The Shape of Water,7.3,2017
"Three Billboards Outside Ebbing, Missouri",8.1,2017
Call Me by Your Name,7.8,2017
Mother!,6.6,2017
Blade Runner 2049,8,2017
Get Out (I),7.7,2017
Black Panther,7.3,2018
Phantom Thread,7.4,2017
The Greatest Showman,7.5,2017
Crazy Rich Asians,6.9,2018
Capharnaüm,8.4,2018
A Star Is Born,7.6,2018
Avengers: Infinity War,8.4,2018
Roma,7.7,2018
Hereditary,7.3,2018
The Favourite,7.5,2018
Sorry to Bother You,6.9,2018
Vice (I),7.2,2018
BlacKkKlansman,7.5,2018
Avengers: Endgame,8.4,2019
Portrait de la jeune fille en feu,8.1,2019
For Sama,8.5,2019
Booksmart,7.1,2019
Once Upon a Time in... Hollywood,7.6,2019
The Farewell (I),7.5,2019
Joker (I),8.4,2019
Gisaengchung,8.5,2019
Monos,6.9,2019
Little Women,7.8,2019
The Lighthouse (I),7.4,2019
The Vast of Night,6.7,2019
The Assistant (III),6.4,2019
Rocks,7.4,2019
Saint Maud,6.7,2019
Tenet,7.3,2020
Ma Rainey's Black Bottom,6.9,2020
Soul,8,2020
Never Rarely Sometimes Always,7.4,2020
Small Axe. Episode: Lovers Rock,7.5,2020
Nomadland,7.3,2020
